x,y1,y2,y3,y4,y5
5.0,-42.346834847111445,-1.316860122638018,-8.62360781344229,-1.6695741570633318,1.9216726808693805
10.0,-42.44949399658408,-4.293924459392256,-8.709313724808665,-5.748505648625823,-1.1191736024018069
14.999999999999998,-42.6240016746246,-6.920484255020093,-8.855239116818233,-8.827874009573982,-3.331491563110938
20.0,-42.87570729970679,-9.210087614057793,-9.066223858120814,-11.298691709213164,-4.974512082277086
25.0,-43.21260241711249,-11.283186500967677,-9.349504224110529,-13.355629453639635,-6.256996361265007
29.999999999999996,-43.645902048938474,-13.22081744469498,-9.715243435988956,-15.111570337916366,-7.3228388561451325
35.0,-44.19092587241829,-15.082039020581021,-10.177332531942495,-16.643625467449983,-8.277194462592103
40.0,-44.86842474641116,-16.916938689730333,-10.754591540847539,-18.010941973998893,-9.201024963593953
45.0,-45.70660350472206,-18.774208616476567,-11.472597396456482,-19.263480999454632,-10.16137549224265
50.0,-46.7442892617699,-20.70712287983578,-12.366550466023181,-20.447525418671564,-11.220097505198062
55.0,-48.036094424942625,-22.780266130793198,-13.485974080864922,-21.610387373011093,-12.442252804772082
59.99999999999999,-49.661300319405356,-25.07939663002081,-14.902897139417188,-22.806245357586022,-13.90581896288147
65.0,-51.740321314382285,-27.72862395968831,-16.727283894088824,-24.106099587803882,-15.715750407694689
70.0,-54.468556308635414,-30.92487895159315,-19.139414901758627,-25.618776647901356,-18.02936553095524
75.0,-58.19733082919153,-35.01946689178487,-22.468846679910392,-27.543348878497483,-21.112954357409475
80.0,-63.678775278810505,-40.763575943583426,-27.436805135603425,-30.331581579155223,-25.50564800028345
85.0,-73.20678031636103,-50.44985445478173,-36.29428744527911,-35.44889011549591,-32.76607818558995
